index,click,hour,C1,banner_pos,device_type,device_conn_type,C14,C15,C16,C17,C18,C19,C20,C21,id_int,site_id_int,site_domain_int,site_category_int,app_id_int,app_domain_int,app_category_int,device_id_int,device_ip_int,device_model_int
0,0,1,14102100,1005,0,1,2,15706,320,50,1722,0,35,-1,79,-2279651841919290000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,5046070946384510000,4295674080651590000
1,1,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,1357592371125930000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,2814797654336590000,8597697701124470000
2,2,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,-8607166518066310000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7167258948501830000,-6351624509581670000
3,3,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,100084,79,-4981402662603540000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-3620383016342660000,-9068659649458220000
4,4,1,14102100,1005,1,1,0,18993,320,50,2161,0,35,-1,157,1274240671289200000,-6989217011279990000,-2170154065774420000,-7038547838583800000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8718230511589280000,-7640128113763280000
5,5,1,14102100,1005,0,1,0,16920,320,50,1899,0,431,100077,117,1274240671289200000,-8391469780661370000,-6321313078051790000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8392051010027840000,-6351624509581670000
6,6,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,1274240671289200000,-8866996747402690000,3134547528511860000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8306212933308560000,3617842697587680000
7,7,1,14102100,1005,1,1,0,20632,320,50,2374,3,39,-1,23,1644646285584970000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,5564081480216270000,-3045051587222030000
8,8,1,14102100,1005,0,1,2,15707,320,50,1722,0,35,-1,79,1644646285584970000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1187265491867580000,-7215468400569240000
9,9,1,14102100,1002,0,0,0,21689,320,50,2496,3,167,100191,23,1364394579390860000,478928268242112000,111604357524640000,-2414393451864680000,-3459646385640830000,8511753678100510000,-3690605714457020000,-7765729365089350000,-5335984195263990000,47424301701698700
10,10,1,14102100,1005,1,1,0,17747,320,50,1974,2,39,100019,33,-5687325578124420000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-2040758955435450000,-762454342246995000
11,11,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,-7899329810680060,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6816500862458320000,3553263535699700000
12,12,1,14102100,1005,0,1,2,20596,320,50,2161,0,35,100148,157,-7899329810680060,9032686967820810000,-3101187702585210000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,4464173494316120000,-6231722056536080000
13,13,1,14102100,1005,0,1,0,19771,320,50,2227,0,687,100077,48,-7899329810680060,-8391469780661370000,-6321313078051790000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,3326651876707870000,-7603588060976260000
14,14,1,14102100,1005,0,1,0,20984,320,50,2371,0,551,-1,46,908839973146335000,8629950133425950000,111604357524640000,-2414393451864680000,-2828222101294190000,-904227634758626000,4844916605846010000,-3518045965299670000,2151515872715700000,7306932399002130000
15,15,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,100084,79,-998235946303167000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6154905135569700000,-6351624509581670000
16,16,1,14102100,1005,0,1,0,17914,320,50,2043,2,39,-1,32,-8541956659064930000,519199084994883000,-8245037260675990000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6563165208993350000,-616526398944831000
17,17,1,14102100,1005,0,1,2,15708,320,50,1722,0,35,100084,79,6768411749517350000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1213461821481430000,-5447042282599780000
18,18,1,14102100,1005,1,1,0,6558,320,50,571,2,39,-1,32,-5587813665809100000,7153451114903390000,-8200604644668850000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,3557851466470600000,-1979458889321720000
19,19,1,14102100,1005,0,1,0,21234,320,50,2434,3,163,100088,61,-3080614765803080000,8629950133425950000,111604357524640000,-2414393451864680000,4646776109510140000,-904227634758626000,7598674530867920000,-3518045965299670000,-8127550203991060000,497634321377341000
20,20,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,-3080614765803080000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,5752269458073860000,-3750468643369280000
21,21,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,-2370529855504710000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6304658622343820000,-7308059280339890000
22,22,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,6770966570531500000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-1770040272576370000,8684700912657450000
23,23,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,5114316504255190000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,4721651739156790000,-7543481408653700000
24,24,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,100083,79,-1273645024490410000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8133901295910380000,1077005538450510000
25,25,1,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-547303737352103000,8629950133425950000,111604357524640000,-2414393451864680000,6391360779523080000,8511753678100510000,4844916605846010000,5640190080072430000,-1549557467152050000,-7968542276066460000
26,26,1,14102100,1005,1,1,0,20984,320,50,2371,0,551,100217,46,8034157444197080000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-4068095319821770000,-1563562757512810000
27,27,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,7324072533898700000,8629950133425950000,111604357524640000,-2414393451864680000,-3881741946088250000,-6327619399419000000,4844916605846010000,1031008704209520000,2825202695626620000,4438842938378910000
28,28,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,7324072533898700000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1234600770594520000,-3203218385020630000
29,29,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,3163840527201480000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8736744961555920000,-4017719625710050000
30,30,1,14102100,1005,0,1,3,15708,320,50,1722,0,35,-1,79,1710940939140710000,8629950133425950000,111604357524640000,-2414393451864680000,2212348886469690000,-6327619399419000000,7897939898949760000,-9171049559940900000,7968940154746890000,3619324331441860000
31,31,1,14102100,1005,0,1,0,16838,320,50,1882,3,35,-1,13,8481049317254070000,8311007498543240000,-4872730788939990000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-5411486487771220000,5229768156974800000
32,32,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100083,79,-2310843586992830000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6990512166640760000,3208554168692520000
33,33,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4498111632426910000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7990211808534830000,-3203218385020630000
34,34,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-4498111632426910000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-1476283104318650000,-3203218385020630000
35,35,1,14102100,1005,0,1,3,18987,320,50,2158,3,291,100193,61,7103645968413020000,8629950133425950000,111604357524640000,-2414393451864680000,-7004666173270430000,-6327619399419000000,7897939898949760000,2673078788336370000,8164175476261920000,-1458582308343720000
36,36,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,-1,157,7103645968413020000,5648329286983610000,7421455112930960000,885715277795204000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-844856239406155000,5994903819945690000
37,37,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,100034,157,1238020262079710000,8629950133425950000,111604357524640000,-2414393451864680000,-9075055671551370000,-4525918953571820000,-4840563325561670000,-3518045965299670000,-1314385408522620000,-1019428751113750000
38,38,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,8093843712708960000,5648329286983610000,7421455112930960000,885715277795204000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1090612812828460000,3098292913819610000
39,39,1,14102100,1005,0,1,0,15706,320,50,1722,0,35,-1,79,8093843712708960000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,4384803572342370000,-4118515310004070000
40,40,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,100084,79,8093843712708960000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-2444785682968560000,-6178101760675650000
41,41,1,14102100,1005,0,1,0,19870,320,50,2271,0,687,100075,48,5604218976818740000,-4369898478251880000,-5374425214460010000,6950720313526840000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7160809663239870000,-1024204235235790000
42,42,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,-1,79,-2292717866691960000,8629950133425950000,111604357524640000,-2414393451864680000,-429701112824202000,-6327619399419000000,7897939898949760000,2987066389510460000,198718810045547000,1976546491231690000
43,43,1,14102100,1010,1,4,0,21665,320,50,2493,3,35,-1,117,-2292717866691960000,8629950133425950000,111604357524640000,-2414393451864680000,7744744357360030000,8511753678100510000,4844916605846010000,5980172289007940000,-3574161231754970000,-7583020033688650000
44,44,1,14102100,1002,0,0,0,21661,320,50,2446,3,171,100228,156,-2292717866691960000,478928268242112000,111604357524640000,-2414393451864680000,-3459646385640830000,8511753678100510000,-3690605714457020000,-8510614909068960000,111552577308962000,-6105785906840430000
45,45,1,14102100,1005,1,1,0,16208,320,50,1800,3,167,100075,23,5758487399619570000,6464426721934920000,-1597212311899250000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-4910463623221230000,7119642937421900000
46,46,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,-1,79,5758487399619570000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7791386733467760000,2965369251169060000
47,47,1,14102100,1005,1,1,0,17037,320,50,1934,2,39,-1,16,2746999540544780000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1220640660378110000,3086260236226050000
48,48,1,14102100,1005,1,1,0,16920,320,50,1899,0,431,-1,117,-4655348392385990000,2580369917981600000,2139018637717020000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-4220144438963830000,-5937768837085530000
49,49,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,1068868396704900000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8840325769964630000,7501646206462430000
50,50,1,14102100,1005,0,1,0,20366,320,50,2333,0,39,-1,157,-3541506983653320000,5554896412617590000,6877266830419250000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8791013091380930000,3123145737817630000
51,51,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,5731213187014930000,8629950133425950000,111604357524640000,-2414393451864680000,7165690864732520000,-6327619399419000000,4844916605846010000,-3518045965299670000,8492739174621220000,-4784008145476450000
52,52,1,14102100,1005,0,1,2,18993,320,50,2161,0,35,100131,157,-1923637982447720000,8629950133425950000,111604357524640000,-2414393451864680000,614185190082061000,-6327619399419000000,6080375722752010000,-3518045965299670000,-3309517812942710000,-5447042282599780000
53,53,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-4589853773660980000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-8446316834118500000,7568039529498300000
54,54,1,14102100,1005,0,1,0,15701,320,50,1722,0,35,100084,79,-4589853773660980000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6240853128760820000,1976546491231690000
55,55,1,14102100,1005,1,1,0,16615,320,50,1863,3,39,100188,23,-4589853773660980000,2580369917981600000,2139018637717020000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-7596511005664720000,9197397757978030000
56,56,1,14102100,1005,1,1,0,20634,320,50,2374,3,39,-1,23,-4349388121296440000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-5351219880249060000,-2616125342966070000
57,57,1,14102100,1005,0,1,0,15704,320,50,1722,0,35,-1,79,-2172957053621980000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,1988778046365720000,1976546491231690000
58,58,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,948637241865808000,8629950133425950000,111604357524640000,-2414393451864680000,-247353148104605000,-6327619399419000000,-4840563325561670000,-3518045965299670000,-521923794810336000,5878430276307080000
59,59,1,14102100,1005,0,1,0,18993,320,50,2161,0,35,-1,157,2495598351573180000,5648329286983610000,7421455112930960000,885715277795204000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8593722406564310000,7935125490635470000
60,60,1,14102100,1005,0,1,0,20596,320,50,2161,0,35,100034,157,3692668652711320000,8629950133425950000,111604357524640000,-2414393451864680000,-9075055671551370000,-4525918953571820000,-4840563325561670000,-3518045965299670000,-4613844872645410000,4038932970711000000
61,61,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,-4701937936717790000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,7791386733467760000,-3203218385020630000
62,62,1,14102100,1005,0,1,0,17212,320,50,1887,3,39,100202,23,3452203000346780000,5603178155900390000,1864581853189980000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,2753844270875870000,4487507558357040000
63,63,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,-1,79,2772122783506020000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6525011065173440000,7119642937421900000
64,64,1,14102100,1005,0,1,0,20362,320,50,2333,0,39,-1,157,-8706034549164680000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,4896539320051010000,7501646206462430000
65,65,1,14102100,1005,0,1,0,15708,320,50,1722,0,35,100084,79,-2767712341371430000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,2350309085550670000,7749433329550790000
66,66,1,14102100,1005,1,1,0,17747,320,50,1974,2,39,100021,33,-8057177215783910000,-5002982258106990000,-2205168921301950000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-7089346313177950000,5229768156974800000
67,67,1,14102100,1005,0,1,0,21611,320,50,2480,3,297,100111,61,2338361591614110000,8629950133425950000,111604357524640000,-2414393451864680000,-2483803314176200000,-500279518171581000,4844916605846010000,-3518045965299670000,1916953203174820000,-6046843993302260000
68,68,1,14102100,1005,0,1,0,15699,320,50,1722,0,35,-1,79,2338361591614110000,-3504188239717840000,231096366534880000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,8830684092170960000,3553263535699700000
69,69,1,14102100,1005,0,1,0,15707,320,50,1722,0,35,-1,79,2338361591614110000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-3800821696919180000,-4017719625710050000
70,70,1,14102100,1005,1,1,0,17914,320,50,2043,2,39,-1,32,238552331567429000,8889373800084740000,551410323232150000,-6827508670937000000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-7625287490537400000,-2662986938824390000
71,71,1,14102100,1005,0,1,0,20352,320,50,2333,0,39,-1,157,4555872186811070000,1683353377056600000,-6802480992743140000,-5331365291037690000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,-1476283104318650000,-3203218385020630000
72,72,1,14102100,1005,0,1,0,15705,320,50,1722,0,35,100084,79,4555872186811070000,1586783940683280000,-6461364947929050000,-6619379710939430000,-3459646385640830000,8511753678100510000,-3690605714457020000,-3518045965299670000,6925717505522620000,-3203218385020630000
